hotel_name,hotel_location,rating,review
Aayu Chulia,Malaysia,9.5,"Aayu Chulia was the perfect stay in Georgetown. 
The location was great, right in the middle of the main area of the city. The rooms were very clean and so were the bathrooms. Nice shared social space on the ground floor. It also had filtered water and the daily bread from the local bakery was a lovely touch. 
We also got a lot of helpful recommendations from the hotel, which made the experience extra special. 
Would 100% recommend."
SCC Hotel Chinatown,Malaysia,8.1,Clean and comfortable private room in a central location on the pedestrian street in Chinatown. Maroof was very welcoming and friendly whenever I had questions or needed anything.
Scarletz Suites KLCC by M Suites,Malaysia,9.5,"Modern and high quality apartments, High floor and great view. Generally quite clean. Smart TV with Netflix.Easy to reach staff via WhatsApp.the staff was lovely."
Relaxing Suite @Suzana The Shore Kota Kinabalu,Malaysia,8.0,"Located just in front of Sabah Market. Very strategic location, nearby Filipino Market, eateries etc. All were a short walking distance."
Ibis Melaka,Malaysia,8.0,"Location : good
Parking : good
Room : good
Food : average
Pool : good
Staff : ok
Overall, nice place to stay with family.
Thank u..."
Aloft Langkawi Pantai Tengah,Malaysia,8.9,"Great location ,great staff and a great view of the sea"
The Prestige Hotel Penang,Malaysia,8.7,"Very clean, great location, great food, great employees"
The RuMa Hotel and Residences,Malaysia,9.2,Very clean hotel and great location
Aras G Homestay,Malaysia,8.9,in front of field
The Jerai Hotel Alor Star,Malaysia,7.7,Location is the best..Staff service is excellent.
Wink at McCallum Street,Singapore,7.9,"Staff was very kind and helpful. I saw them clean when they had a chance throughout the day. The place was nearby so many places like the nice hawker centre that was across from it. There are coffee and tea shops right across from the place and a 7-11 right next to it. The staff is patient with anything that happens. Subway station is a short walk away. 
The place was reasonable for the price, would come here again if I needed a short stay. 
Easily accessible if you use their transport service from Changi airport and tell them the address of the place."
Beary Best! Hostel Kampong Glam,Singapore,6.9,"The bed was comfy, the terrace had a great view.. And the location is quite convenient."
Hotel 81 Tristar,Singapore,7.0,"Overall comfortable,  fast service,  excellent location for my activities."
Paradox Singapore Merchant Court at Clarke Quay,Singapore,8.4,breakfast was excellent with great variety of food.
YOTELAIR Singapore Changi Airport Landside,Singapore,7.4,Super convenient and very clean
